key,type,Korean,English,설명위치
SYS_ERR_NICK_CHECKING,0,닉네임 체크 에러,Nickname check error,
SYS_ERR_NICK_CHECKING_NOT_DEFINED,0,정의 되지 않은 닉네임 체크 에러입니다.,Undefined nickname checking error,
SYS_ERR_JOIN,0,회원 가입 에러,Sign-up error,
SYS_ERR_NICK_CHANGE,0,정의 되지 않은 닉네임 변경 에러입니다.,Undefined nickname changing error,
SYS_ERR_LOGOUT_SUCCESS,0,로그아웃 성공,Successfully logged out,
SYS_CLIENT_LOGOUT_SUCCESS,0,로그아웃에 성공했습니다.,Successfully logged out,
SYS_ERR_GAME_IN_FAILED,0,게임 입장 실패,Failed to enter game,
SYS_CLIENT_GAME_IN_FAILED,0,게임 입장에 실패하셨습니다.,Failed to enter game,
SYS_ERR_LOGIN,0,로그인 에러,Login error,
SYS_ERR_LOGIN_NOT_DEFINED,0,정의 되지 않은 로그인 에러입니다.,Undefined login error,
SYS_ERR_GAME_LOGIN,0,게임 로그인 에러,Game login error,
SYS_ERR_GAME_LOGIN_NOT_DEFINED,0,정의 되지 않은 게임 로그인 에러입니다.,Undefined game login error,
SYS_ERR,0,오류,Error,
SYS_ERR_VER_CHECKING,0,버전 체크중 오류가 발생했습니다.,Version check error,
SYS_ERR_UPDATE_FAILED,0,클라이언트의 업데이트에 실패했습니다.\n다시 시도 해주세요.,Client update failed.\n Please try again.,
SYS_ERR_GET_TOKEN_FAILED,0,로그인 토큰 획득 실패,Failed to acquire login token,
SYS_CLIENT_GET_TOKEN_FAILED,0,로그인 토큰을 가져오는 데 실패하였습니다.,Failed to acquire login token,
SYS_ERR_JOIN_FAILED,0,회원가입 실패,Sign-up failed,
SYS_ERR_NEC_AGREE,0,필수약관에 모두 동의해주세요.,Please agree to all the mandatory terms and conditions.,
SYS_ERR_DEF_SECRET,0,비밀번호와 비밀번호 확인란이 다릅니다.,Passwords do not match. Please check again.,
SYS_CLIENT_JOIN_FAILED,0,회원가입에 실패했습니다.,Sign-up failed,
SYS_SECRET_INIT_EMAIL_SEND_SUCCESS,0,비밀번호 초기화 메일 발송,Send password reset email,
SYS_SECRET_INIT_EMAIL_SEND_SUCCESS_REQUEST_LOGIN,0,해당 이메일로 비밀번호 초기화 메일을 발송했습니다.\n비밀번호 변경 후 다시 로그인 해주세요.,A password reset email has been sent to your email address.\n Please login after changing your password.,
SYS_SECRET_INIT_EMAIL_SEND_FAILED,0,비밀번호 초기화 메일 발송 실패,Failed to send password reset email,
SYS_SECRET_INIT_EMAIL_SEND_FAILED_CHECK_EMAIL,0,해당 이메일로 비밀번호 초기화 메일을 발송하지 못했습니다.\n이메일을 확인해주시고 다시 시도 해주세요.,We could not send a password reset email to the given address. \n Please check your email address and try again.,
SYS_ERR_GOOGLE_LOGIN_FAILED,0,구글 로그인 실패,Google login failed,
SYS_ERR_JOIN_NOT_DEFINED,0,정의 되지 않은 회원가입 에러입니다.,Undefined sign-up error.,
SYS_ERR_CHECKING_NETWORK,0,네트워크 상태를 확인해주세요.,Please check your network connection.,
SYS_ERR_SVR_INFO_LOADING_FAILED_CHECKING_NETWORK,0,서버 설정 정보를 불러올 수 없습니다.\n네트워크 상태를 확인해주세요.,Could not load the server settings.\n Please check your network connection.,
SYS_ERR_WAITTIME_OVER,0,반응시간을 초과하였습니다.,Exceeded response time limit,
SYS_ERR_CONNECTING_OTHER_CLIENT,0,다른 기기에서 접속을 시도했습니다.,Your account has been logged in from another device.,
SYS_ERR_DISCONNECTING,0,접속 끊김,Disconnected,
SYS_CLIENT_DISCONNECTING,0,서버와의 접속이 끊어졌습니다.,Connection to server has been lost.,
SYS_ERR_LOGIN_FAILED,0,로그인 실패,Login failed,
SYS_ERR_USER_TOKEN_EXPIRE,0,유저 토큰 만료,User token has expired.,
SYS_ERR_USER_TOKEN_EXPIRE_GO_LOGIN,0,유저 토큰이 만료되어 로그인 화면으로 돌아갑니다.,User token has expired. Returning to login page.,
SYS_ERR_SHORT_NICKNAME,0,닉네임이 너무 짧습니다.,Nickname is too short.,
SYS_ERR_LONG_NICKNAME,0,닉네임이 너무 깁니다.,Nickname is too long.,
SYS_ERR_TRY_SAME_VALUE,0,동일한 값으로 변경 시도,,
SYS_ERR_NOT_CHANGE_SAME_VALUE,0,동일한 값으로는 변경을 할 수 없습니다.,,
SYS_ERR_DAILY_LOSS_LIMIT_CHANGE_COUNT_OVER,0,1일 손실 한도 변경 횟수 초과,Exceeded daily loss limit changing limit,
SYS_ERR_DAILY_LOSS_LIMIT_CHANGE_COUNT_OVER_EXPLAN,0,1일 손실 한도 변경 횟수를 초과하였습니다.\n\n한도 변경 횟수는 매월 1일 초기화 됩니다.,You have reached the daily loss limit changing limit.\n\n Limit is initialized on the first day of each month.,
SYS_CONFIRM,0,확인,Confirm,
SYS_CANCEL,0,취소,Cancel,
SYS_MAX_BET_COZ_OVER_LIMIT_BET_ONGAME,0,1회 게임 베팅 한도를 초과 하였습니다.,You have reached the betting limit for a single game.,
SYS_SELT_GAME_BLOCK,0,본인 이용 제한 설정,Set play time limit,
SYS_SELT_GAME_BLOCK_CHOICE_TIME,0,원하시는 게임 이용 제한 시간을 선택하여 주십시요,Please set play time limit,
SYS_SELT_GAME_BLOCK_CHECKING,0,"본인 이용 제한 설정이 완료되면, 설정하신 시간 동안 게임 접속이 차단되며,\n제한 시간이 모두 종료되기 전까지는 취소하실 수가 없습니다.\n계속 진행하시겠습니까?","Once a limit is set / you will not be able to access the game until it expires. Also, you cannot modify this setting before the designated time. \nDo you want to continue?",
SYS_ERR_LOGIN_FAIL_SELF_GAME_BLOCK,0,이용 제한 자가 설정이 된 상태입니다. \n이용제한 남은시간:{0},이용 제한 자가 설정이 된 상태입니다. \n이용제한 남은시간:{0},
SYS_MSG_USERCARE_TITLE,0,무료 충전,,
SYS_MSG_FREE_CHARGE_GOLD,0,보유 칩이 부족하여 <color=yellow>{0}</color>칩이 무료 충전되었습니다. \n남은횟수:{1},,
SYS_MSG_FREE_CHARGE_SILVER,0,보유 코인이 부족하여 <color=yellow>{0}</color>코인이 무료 충전되었습니다. \n남은횟수:{1},,
siver,0,실버,Silver,
platinum,0,플래티넘,Platinum,
manage_members,0,,,
line,0,,,
join,0,가입,Join Cafe,
gold,0,골드,Gold,
diamond,0,다이아몬드,Diamond,
cancel,0,취소,Cancel,
cashier_type,0,유형,Type,
cashier_transation,0,거래 내역,Transaction history,
cashier_totaldebt,0,총 대여한 칩,Outstanding Loans,
cashier_time,0,시간,Time,
cashier_money,0,응답하다,Request,
cashier_id,0,닉네임,Nickname,
cashier_decline,0,거부,Decline,
cashier_debt,0,대여중인 칩,Current Loans,
debt,0,대여 칩,Debt,
cashier_currdebt,0,대여 중인 칩,Current Debt,
cashier_confirm,0,확인,Confirm,
cashier_chip,0,칩,Chip,
cashier_borrowing_1,0,대여,Loan,
cashier_borrowing,0,대여한 칩 확인,Confirm Loan,
cafe_tier,0,클럽 등급,Cafe Tier,
cafe_private_club,0,비공개 클럽,Private Cafe,
cafe_privacy,0,개인정보처리방침,Privacy Policy,
cafe_password_2,0,비공개 클럽,Private Cafe,
cafe_password,0,클럽 코드,Cafe Code,
cafe_option4,0,링크 초대,One-time<br>Invitation Link,
cafe_option3,0,자동 가입 승인,Auto-Approve Applications,
cafe_option2,0,비공개 클럽,Private Cafe,
cafe_option1,0,이름 / 티어변경,Cafe branding,
cafe_noti_1000,0,1000글자까지만 설정 가능합니다.,Notification cannot exceed 1000 characters.,
cafe_noti,0,알림,Notification,
cafe_invite_3,0,초대링크,Invitation Link,
cafe_invite_2,0,ID(이메일 주소) 초대합니다.,ID(email) to send invitation,
cafe_invite_1,0,초대 멤버(ID/ Password),Invite Member (ID / Password),
cafe_disbandcafe,0,클럽 삭제,Delete Cafe,
cafe_delete_popup1,0,클럽 삭제를 시작합니다.<br>72시간 이후 자동으로 클럽가 삭제됩니다.<br>클럽 삭제를 철회 할 경우 클럽 삭제 취소를 눌러주세요,"Are you sure you want to delete the cafe?<br>After 72 hours, the cafe will be deleted automatically. If you want to cancel the deletion of the cafe, please click 'Undelete Cafe.'",
cafe_delete_popup,0,클럽 삭제,Delete Cafe,
cafe_delete,0,삭제,Delete,
cafe_create,0,생성,Create,
cafe_confrim,0,확인,Confirm,
cafe_characters,0,클럽이름,Cafe Name ( 2~16 Characters ),
cafe_branding,0,이름 / 티어변경,Branding,
bronze,0,브론즈,Bronze,
type_text,0,게임 유형,Game Type,
total_player,0,플레이어,Player,
timebanklength,0,타임뱅크,Time Bank,
timebankgiven,0,타임뱅크 레벨,Time Bank Level,
timebank,0,타임뱅크,Time Bank,
time_price,0,가격,Price,
time_extension,0,시간 연장,Time Extension,
ticketprice_rake,0,티켓 바이인,Buy-in Ticket,
ticketprice_chip,0,칩,Chips,
straddle,0,스트래들,Straddle,
startingstack,0,시작칩,Starting Stack,
stack_removal_option3,0,*일정 BB가 쌓이면 보유칩으로 이동합니다.,"Stack exceeds the BB you set, it is automatically removed from the table.",
stack_removal_option2,0,분 마다,Every minutes,
stack_removal_option1,0,핸드 마다,Every hands,
stack_removal,0,워싱,Stack Periodical Removal,
spectator_ban,0,관전자 모드,Observer Mode,
sng,0,SNG,SNG,
short_deck,0,6+,6+,
schedule,0,예약,Schedule,
run_it_multi,0,런 잇 트와이스,Run it Twice,
rebuy,0,재참가,Re-buy,
rakecap,0,일반 레이크 캡,Normal Rake Cap,
rake_2,0,%,%,
rake,0,액티브 레이크,Active Rake,
prizepool,0,전체 상금,Prize pool,
plo_hi_low,0,하이 로우,High Low,
plo_card_choose,0,카드,Card,
plo,0,PLO,PLO,
personal,0,테이블 최대 인원,Maximum Seats,
payout,0,블라인드 구조,Blind Structure,
passive_rake_4,0,분 마다,Minutes,
passive_rake_3,0,BB 부과,BB per every,
passive_rake_2,0,핸드마다,Hands,
passive_rake_1,0,BB 부과,BB per every,
passive_rake,0,패시브 레이크,Passive Rake,
nolook_allin,0,노룩 올인,No-look ALL-IN,
nlh,0,NLH,NLH,
late_registration,0,블라인드 레벨까지,Until Blind Level,
jackpot_fund,0,잭팟 캡,Jackpot Cap,
insurance_house_commission,0,커미션,Commission,
insurance_title,0,인슈어런스,Insurance,
insurance_explain,0,인슈어런스를 선택하시겠습니까?,Would you like to take insurance?,
insurance_cancel,0,거부,Decline,
insurance_ok,0,승인,Approve,
insurance_infomation,0,인슈어런스 정보,Insurance Infomation,
guarantee,0,보증,Guarantee,
gps_location,0,gps 제한,GPS,
game_type,0,게임 타입,Game Type,
game_length,0,게임 시간,Game Length,
device_ban,0,디바이스 제한,Device Restriction,
create_gameroom,0,자동 시작,Auto Start,
community_ban,0,채팅 제한,Chat Restriction,
buyin,0,Buy-in,Buy-in,
break_time,0,휴식 시간,Break Time,
break_schedule,0,멈춤 예약,Break Schedule,
blinds_up,0,간격,Interval sec,
blind_structure,0,블라인드 구조,Blind Structure,
blind,0,블라인드,Blind,
bet_time,0,액션 타임,Action time,
autostart_condition2,0,테이블 앉은 후,After sitting at the table,
autostart_condition1,0,게임 시작을 위한 최소 인원,Minimum number of players,
autostart,0,자동 시작,Auto start,
ante,0,앤티,Ante,
anonymous,0,닉네임 가리기,Anonymous Player,
action_time,0,액션 타임,Action time,
confirm,0,확인,Confirm,
cafe_join_password_1,0,클럽 코드,Cafe Code,
cafe_join_password_2,0,취소,Cancel,
cafe_join_password_3,0,가입,Join,
cashier_trade4,0,전체 칩,Balance in Result,
cashier_trade5,0,대여한 칩,Loans in Result,
cashier_trade6,0,전체 칩,Total Asset in Result,
room_create,0,게임 생성,Create Game,
cafe_zuice_diamond,0,X 2000,X 2000,
cafe_zuice_platinum,0,X 1000,X 1000,
cafe_zuice_gold,0,X 500,X 500,
cafe_zuice_sliver,0,X 100,X 100,
cafe_zuice_bronze,0,X 4,X 4,
pesonel,0,테이블 최대 인원,Table max player,
game_type_1,0,게임 생성,Create Game,
cafe_join_1,0,클럽 가입,Join Cafe,
cafe_join_2,0,클럽 가입,Join Cafe,
name,0,닉네임,Nickname,
password,0,패스워드,Password,
login,0,로그인,Login,
sign,0,회원가입,Sign-up,
email_login,0,이메일 로그인,Sign-in with Email,
google,0,구글 로그인,Sign-in with Google,
apple,0,Apple 로그인,Sign-in with Apple,
password_c,0,패스워드 확인,Password Confirm,
agreemnet,0,이용 약관 동의,Agree with Terms and Conditions,
infomation,0,개인정보 수집,Privacy Policy,
detail,0,세부사항,Details,
account,0,계정,Account,
avg_pot,0,Avg Pot,Avg Pot,
cafes,0,클럽,Cafes,
store,0,상점,Store,
mypage,0,마이페이지,My Page,
time_left,0,남은 시간,Remaining Time,
invite,0,초대,Invite,
hole_card,0,홀 카드,Hole Card,
winner,0,승리,Winner,
winloss,0,윈로스,PnL,
cafecashier,0,클럽 캐셔,Cafe Cashier,
community,0,커뮤니티,Community,
zuice,0,쥬스,Zuice,
totalpot,0,전체 팟,Total Pot,
mybalnce,0,전체 금액,My Balance,
min,0,최소,Min,
max,0,최대,Max,
buyinamount,0,바이인,Buy-in,
agree,0,모든 사항에 동의합니다.,I agree with all of the above.,
connect,0,연결,Connect,
email,0,이메일,Email,
logout,0,로그아웃,Log out,
phone,0,폰 번호,Phone Number,
view,0,전체보기,View All,
nick_check,0,닉네임 확인여부,Check Nickname,
password_r,0,패스워드 재설정,Reset Password,
nick_name_input,0,닉네임을 입력하세요,Please enter your nickname.,
gametable,0,클럽 홈,Cafe Home,
handlog,0,핸드로그,Hands Log,
play,0,플레이,Play,
ok,0,확인,OK,
pot_1,0,팟 (이익),"Pot
 (profit)",
exit,0,나가기,Exit,
sitin,0,참가,Sit-in,
sitout,0,싯아웃,Sit-out,
foldcheck,0,폴드/체크,Fold/Check,
reject,0,거부하다,Reject,
confirmsbb,0,칩 승인 관리 / 히스토리,Chip Approval / History,
confirmsbh,0,확인 내역,Confirm History,
sbb,0,칩 요청,Chip Request,
mm,0,멤버,Members List,
co,0,클럽 관리,Cafe Management,
ac,0,가입 승인,Approve Applications,
zc,0,쥬스 히스토리,Zuice History,
owner,0,오너,Owner,
manager,0,매니저,Manager,
member,0,멤버,Member,
cashier_sell,0,전송,Transfer,
cashier_buy,0,구매,Buy,
cashier_borrow,0,대여,Loan,
mtt,0,MTT,MTT,
silver,0,실버,Silver,
rebuy_limit,0,리바이 제한,Rebuy Limit,
chip,0,칩,Chips,
rake_1,0,레이크,Rake,
sec,0,초,Sec,
zch,0,쥬스 히스토리,Zuice History,
decline,0,거부,Decline,
mute,0,음소거,Mute,
role,0,바꾸기,Change member status,
ben,0,내보내기,Ban Participant,
time,0,시간,Time,
tablename,0,테이블/이름,Table/Name,
balance,0,금액,Balance,
no_cafe,0,클럽 코드가 올바르게 입력되지 않았습니다.,Make sure the code you entered is correct.,
not_cafe_member,0,클럽 회원이 아닙니다.,You are not a member of this cafe.,
not_cafe_member_permit,0,멤버 강등 권한이 없습니다,You do not have the right to demote your membership.,
cafe_join_already_joined,0,이미 클럽에 가입했습니다.,You are already a member of this cafe.,
cafe_join_already_applied,0,이미 클럽에 신청했습니다.,You already have a pending application for this cafe.,
cafe_join_pw_wrong,0,클럽 코드 번호가 아닙니다.,Cafe code is incorrect.,
cafe_join_rejected_p,0,클럽 가입 신청이 거부되었습니다.,Your application to the cafe has been rejected.,
cafe_join_rejected,0,클럽 가입 신청이 거부되었습니다. 잠시 후 다시 시도해주세요.,Your application to this cafe has been rejected. Wait for a few minutes to apply to this cafe.,
cafe_join_update_fail,0,가입하지 못했습니다.,Failed to join.,
cafe_transfer_chip_fail,0,칩을 전송하지 못했습니다.,Failed to transfer chips.,
cafe_game_create_fail,0,게임을 생성하지 못했습니다.,Failed to create table.,
cafe_create_fail,0,클럽를 생성하지 못했습니다.,Failed to create cafe.,
cafe_create_fail_already_code,0,클럽 코드가 생성됩니다.,The code for the cafe has been created.,
cafe_create_success,0,클럽를 성공적으로 만들었습니다.,Successfully created your cafe.,
cafe_join_success,0,관리자의 승인을 기다리세요.,Waiting for approval from owner.,
cafe_zc_success,0,쥬스가 충전되었습니다.,Zuice purchase complete.,
table_success,0,게임이 성공적으로 생성되었습니다.,Game has been successfully created,
sell_success,0,팔기를 요청하였습니다.,Selling has been requested. Please wait.,
buy_success,0,사기를 요청하였습니다.,Purchasing has been requested. Please wait.,
borrow_success,0,대여를 요청하였습니다.,Loaning has been requested. Please wait.,
confirm_success,0,요청이 완료되었습니다.,Confirmed.,
accept_success,0,요청이 허용되었습니다.,You have been allowed to join the cafe.,
decline_success,0,요청이 거부되었습니다.,You have refused to join the cafe.,
exit_answer,0,게임을 종료하시겠습니까?,Would you like to quit the game?,
create_cafe_1,0,클럽 생성,Create Cafe,
join_cafe_1,0,클럽 가입,Join Cafe,
cafe_join_success_p,0,클럽 가입을 환영합니다.,Welcome to the cafe.,
decline_success_p,0,클럽 가입 신청이 거부되었습니다.,"Sorry, but your application to this cafe has been rejected.",
radom_sit_in,0,랜덤 앉기,Random Sit-In,
enter,0,확인,Enter,컨펌이 아니라 엔터인 이유가 있나요? 맥락 설명 바랍니다.
not_chip_enough_enter,0,칩이 부족합니다.,Not enough chip.,클럽캐셔 팝업창
game_type_text,0,게임 타입,Game Type,방생성시 사용
handslog,0,핸드 히스토리,Hands history,핸드로그 전체 사용
hold_chips,0,보유 칩,Chip Balance,인게임 바이인 사용
hold_kps,0,보유 KP,KP Balance,인게임 바이인 사용 KP
pot,0,팟,Pot,인게임 배팅사용
timelefttext,0,클럽 운영 시간,Time Left,클럽사용
resrvationtime,0,등록 시작 시간,Reservation Start Time,MTT사용
resrvationdeadline,0,등록 마감 시간,Reservation Deadline,MTT사용
ingame,0,게임설정,In Game,마이페이지 인게임 설정
language,0,언어,Language,마이페이지 인게임 설정
buyinsize,0,디폴트 바이인,Default Buy-in,마이페이지 인게임 설정
buyinsize_des,0,바이인 사이즈가 테이블 최소값보다 작으면 최소 금액으로 수정됩니다.,You will be seated with lowest amount allowed if your buy-in setting is lower than the table's minimum buy-in.,마이페이지 인게임 설정
autorebuy,0,오토 리바이,Auto Re-buy,마이페이지 인게임 설정
autorebuy_chip,0,오토 리바이,Auto Rebuy,마이페이지 인게임 설정
autorebuy_charge,0,칩 충전 크기,Add chips to,마이페이지 인게임 설정
autorebuy_des,0,최대 바이인의 <color=#aa0000>{0}%</color>까지 떨어지면 자동으로 최대 바이인의 <color=#3469C9>{1}%</color>만큼 채워집니다.,If your chip amount drops below <color=#aa0000>{0}%</color> of maximum buy-in / your stack will be automatically charged to <color=#3469C9>{1}%</color> of maximum buy-in.,마이페이지 인게임 설정
betsize1,0,프리플랍 벳 사이즈,Pre-flop Bet Size ,마이페이지 인게임 설정
betsize2,0,이후 벳 사이즈,Bet Size after pre-flop,마이페이지 인게임 설정
bb,0,BB,BB,마이페이지 인게임 설정
autotimebank,0,자동 타임뱅크,Auto Time Bank,마이페이지 인게임 설정
alwaysbank_1,0,항상 사용,Always,
includingbank_1,0,"팟에 칩을 넣은 경우 자동 사용 (블라인드, 앤티 포함)",When you have chips in the pot including Blinds/Ante,
excludingbank_1,0,"베팅을 한 경우에만 자동 사용 (블라인드, 앤티 미포함)",When you have chips in the pot excluding Blinds/Ante (Default),
neverbank_1,0,사용하지 않음,Never,
alwaysbank,0,모든 상황에서 자동으로 타임뱅크를 사용합니다. 이 설정은 타임뱅크가 소진 될 때까지 사용됩니다.,"Automatically use your Time Bank on all of your turns.
This setting will be applied until Time Bank is exhausted.",마이페이지 인게임 설정
includingbank,0,"블라인드, 앤티 상황을 포함해서 팟에 칩이 들어간 경우 자동으로 타임뱅크를 사용합니다. 이 설정은 타임뱅크가 소진 될 때까지 사용됩니다.","Automatically use your Time Bank only when you have
chips in the pot, including blinds/ante. This
will be applied until your Time Bank is exhausted.",마이페이지 인게임 설정
excludingbank,0,"블라인드, 앤티 상황을 제외하고 사용자가 베팅을 한 경우 자동으로 타임뱅크를 사용합니다. 이 설정은 타임뱅크가 소진 될 때까지 사용됩니다.","Automatically use your Time Bank only when you have
chips in the pot, excluding blinds/ante. 
This will be applied until your time Bank is exhausted.",마이페이지 인게임 설정
neverbank,0,모든 상황에서 수동으로 타임뱅크를 사용합니다.,Use your Time Bank manually,마이페이지 인게임 설정
sound,0,사운드,Sound,마이페이지 인게임 설정
eng,0,English,English,마이페이지 언어 사용
kor,0,한국어,한국어,마이페이지 언어 사용
blindante,0,블라인드(앤티),Blind(ante),핸드로그 사용
preflop,0,프리플랍,Pre-Flop,핸드로그 사용
flop,0,플랍,Flop,핸드로그 사용
turn,0,턴,Turn,핸드로그 사용
river,0,리버,River,핸드로그 사용
end,0,끝,End,핸드로그 사용
notice,0,알림,Notice,마이페이지 히스토리 사용
history,0,히스토리,History,마이페이지 히스토리 사용
chip__success,0,칩 충전이 완료되었습니다.,Chip has been charged.,마이페이지 히스토리 사용
chip__request,0,칩 충전을 요청하였습니다.,Chip charging has been requested.,마이페이지 히스토리 사용
chip__cancel,0,칩 충전이 취소되었습니다.,Chip charging has been declined.,마이페이지 히스토리 사용
cafe_success,0,클럽에 가입되었습니다.,Cafe sign-up was successfully completed.,마이페이지 히스토리 사용
cafe_charge,0,클럽 시간 추가,Cafe hours charging station,클럽 충전소 사용
hours,0,시간,Hours,클럽 충전소 사용
hours_des,0,쥬스를 사용하여 클럽 운영 시간을 늘려주세요.,Use zuice to charge your cafe hours.,클럽 충전소 사용
add_zuice_confirm_pannel_title,0,쥬스 사용,Zuice will be consumed.,클럽 충전 버튼 사용시
add_zuice_confirm_pannel_contents,0,쥬스를 사용하여 클럽 운영 시간을 추가합니다.,Zuice will be consumed to add cafe hours.,클럽 충전 버튼 사용시
handslog_sb,0,SB,SB,핸즈로그시
time_change,0,클럽 운영 시간이 충전되었습니다.,Cafe hours have been charged.,쥬스를 시간으로 바꿔 성공할 경우
x,0,X,X,쥬스 변환
minbuyin,0,최소 바이인,Minimum Buy-In,테이블 생성시  바이인
maxbuyin,0,최대 바이인,Maximum Buy-In,테이블 생성시 바이인
hand,0,핸드,Hand,테이블 생성시 쌓인 칩
plo_1,0,PLO 4장 (하이카드),PLO 4 (High Card),오마하 설명
normal,0,노멀,Normal,MTT토너먼트
turbo,0,터보,Turbo,MTT토너먼트
hyper,0,하이퍼,Hyper,MTT토너먼트
defalt,0,디폴트,Defalt,MTT토너먼트
custum,0,커스텀,Custom,MTT토너먼트
cafecode_1,0,클럽코드를 통한 초대,Invite thru code,클럽 가입 및 초대
cafe_tiertool,0,이미지 업로드,Image Upload,클럽 이미지 업로드
cafe_join_text,0,클럽 코드를 입력해주세요.,Please enter cafe code.,클럽 이미지 텍스트
cafe_auto_join_text,0,클럽 자동 가입 코드가 입력되었습니다.,Cafe code has been entered.,
cafecode,0,클럽 코드,Cafe Code,클럽 코드 텍스트
shortdeck_1,0,Short Deck,Short Deck,게임 생성 시 키값
min_1,0,최소,Minimum,
error_cafe_opration_stop_no_zuice,0,클럽 운영이 중지 되었습니다. Zuice를 충전하십시오.,Operation of cafe has been stopped. Use cafe zuice to add cafe hours.,
cafe_list,0,클럽 관리,Cafe management,
change_nickname,0,닉네임 변경하기,Change Nickname,
enter_nickname,0,닉네임을 입력하세요,Enter Nickname,
add_zuice_complete,0,클럽 운영 시간이 충전되었습니다,Zuice has been added to the cafe.,
min_2,0,분,Minutes,
cafe_status_not_normal,0,클럽 운영이 정지된 상태 입니다. 매니저에게 문의해주세요.,Cafe is closed. Contact to the manager please.,
play_game_enter_err_cafe_status_not_normal,0,클럽 운영이 정지되어 테이블에 입장할 수 없습니다.,Not able to enter the table - cafe is closed now.,
please_input_cafe_name_title,0,클럽 이름,Cafe name,
please_input_cafe_name_contents,0,클럽 이름을 입력해주세요.,Please enter the cafe name.,
deal_choice,0,런 잇 트와이스 선택,Select Run It Twice Options,
deal_choice_info,0,레이크가 차감되지 않습니다. 시도해보세요!,No extra rake. Give it a try!,
CAFE_CREATE_FAIL_ALREADY_CODE_BODY,0,이미 사용중인 클럽 코드 입니다. 다시 시도해주세요.,This is a cafe code that is already in use. Please re-enter., 
has_borrowed_chip,0,대여중인 칩이 있습니다. 확인해주세요.,you have a loan chip. Please check.,
no_nickname,0,해당 닉네임은 사용할 수 없습니다.,This nickname cannot be used.,
cafe_zuice_time,0,{0}일 {1:D2}:{2:D2}:{3:D2} 시간 남음,{0} day(s) {1:D2}:{2:D2}:{3:D2}  time left,
cafe_zuice_time_noday,0,{1:D2}:{2:D2}:{3:D2} 시간 남음,{1:D2}:{2:D2}:{3:D2}  time left,
shop_package_01,0,"마로 7일 이용권 \n+ 100,000 코인",Liam + 10K coins,
shop_package_02,0,"마로 30일 이용권 \n+ 500,000 코인",Oliver + 50K coins,
shop_package_03,0,"마로 90일 이용권 \n+ 1,000,000 코인",Mason + 100K coins,
