id,key,default,kr,en,description,loop,Type,
42,SFX_BC_CARDOPEN_01,,,,,,,
43,SFX_BC_CARDOPEN_02,,,,,,,
44,SFX_BC_CARDOPEN_03,,,,,,,
45,SFX_BC_PAIR,,,,,,,
46,SFX_BC_NATURAL,,,,,,,
47,SFX_BC_PLAYERWIN,,,,,,,
48,SFX_BC_BANKERWIN,,,,,,,
49,SFX_BC_TIEWIN,,,,,,,
50,SFX_BC_CHIP_TO_PLAYER,,,,,,,
51,SFX_BC_LASTROUND,,,,,,,
52,SFX_BC_CARDRESET,,,,,,,
100,VOICE_ALLIN,voice_allin,,,올인 음성 효과음,-,,
101,VOICE_BET,voice_bet,,,베팅 음성 효과음,-,,
102,VOICE_BING,,,,,-,,
103,VOICE_CALL,voice_call,,,콜 음성 효과음,-,,
104,VOICE_CHECK,voice_check,,,체크 음성 효과음,-,,
105,VOICE_DADANG,,,,,-,,
106,VOICE_DIE,,,,,-,,
107,VOICE_FOLD,voice_fold,,,폴드 음성 효과음,-,,
108,VOICE_HALF,,,,,-,,
109,VOICE_MAX,,,,,-,,
110,VOICE_QUARTER,,,,,-,,
111,VOICE_RAISE,voice_raise,,,레이즈 음성 효과음,-,,
112,VOICE_SHOWDOWN,,,,,-,,
113,VOICE_ONEPAIR,,,,,-,,
114,VOICE_TWOPAIR,,,,,-,,
115,VOICE_THREEOFKIND,,,,,-,,
116,VOICE_STRAIGHT,,,,,-,,
117,VOICE_FLUSH,,,,,-,,
118,VOICE_FULLHOUSE,,,,,-,,
119,VOICE_FOUROFKIND,,,,,-,,
120,VOICE_STRAIGHTFLUSH,,,,,-,,
121,VOICE_ROYALSTRAIGHTFLUSH,,,,,-,,
122,VOICE_GOODLUCK,,,,,-,,
123,VOICE_WELCOME,,,,,-,,
124,VOICE_GAMESTART,,,,,-,,
125,VOICE_GAMERESTART,,,,,-,,
126,VOICE_ONECARD,,,,,-,,
127,VOICE_TWOCARD,,,,,-,,
128,VOICE_THREECARD,,,,,-,,
129,VOICE_BOX,,,,,-,,
130,VOICE_THIRD,,,,,,,
131,VOICE_SECOND,,,,,,,
132,VOICE_GOLF,,,,,,,
133,VOICE_MORNING,,,,,,,
134,VOICE_AFTERNOON,,,,,,,
135,VOICE_EVENING,,,,,,,
200,BGM_MAINLOBBY,bgm_lobby,,,a9j로비,-,홀덤,
201,BGM_BACCARAT_INGAME,,,,,,,
204,SFX_CHIPTODEALER,sfx_chip_to_dealer,,,보드로 칩이 이동하는 효과음,-,홀덤,
205,SFX_CHIPTOPLAYER,sfx_chip_to_player_m,,,플레이어에게 칩이 이동하는 효과음,-,홀덤,칩개수에 3가지 타입으로 변경
206,SFX_CHIPPLAYER,sfx_chip_m,,,칩을 자리에 놓는 효과음,-,홀덤,
207,voice_runitonce,voice_runitonce,,,버튼 클릭 후 효과음,-,홀덤,
208,voice_runittwice,voice_runittwice,,,버튼 클릭 후 효과음,-,홀덤,
210,sfx_button,sfx_button,,버튼,button 클릭 시 나는 둔탁한 효과음,,,
211,sfx_toggle,sfx_toggle,,토글,toggle 키고 끄는 효과음,,,
212,sfx_x,sfx_x,,무응답,반응없을때 나는 효과음 (윈도우 띵소리),,,
213,sfx_roomin,sfx_roomin,,방입장,방 입장 효과음,,,
214,sfx_roomout,sfx_roomout,,방나가기,방 나가기 효과음,,,
215,sfx_mark,sfx_mark,,방 마크,멀티테이블링 시 내 차례 효과음,,,
216,sfx_myturn,sfx_myturn,,내차례,내 차례일 때 효과음,,,
217,sfx_winner,sfx_winner,,승리,Win 효과음,,,
218,sfx_move_onechip,sfx_move_onechip,,칩 1개 이동,단일 칩 이동 효과음,,,
219,sfx_move_middlechip,sfx_move_middlechip,,칩 여러개 이동,중간 칩 이동 효과음,,,
220,sfx_move_megachip,sfx_move_megachip,,칩 대량 이동,대량 칩 이동 효과음,,,
221,sfx_thump,sfx_thump,,체크 시 테이블 두드리기,테이블 판 2번 두드리는 효과음,,,
222,sfx_sitin,sfx_sitin,,앉는 자리 선택,take sit in 자리 선택 효과음,,,
223,sfx_alarm,sfx_alarm,,시간없음,자신의 차례가 얼마 남지 않는 초 딸깍 딸깍 효과음,,,
224,sfx_buyin,sfx_buyin,,앉은 후,바이인 설정 후 앉는 효과음,,,
225,sfx_tomato,sfx_tomato,,토마토,토마토 던지는 효과음,,,
226,sfx_dynamite,sfx_dynamite,,다이너마이트,다이너마이트 던지는 효과음,,,
227,sfx_ball,sfx_ball,,공,공 던지는 효과음 (축구공 소리가 아닌 공으로),,,
228,sfx_firework,sfx_firework,,폭죽,폭죽 날리는 효과음,,,
229,sfx_wine,sfx_wine,,와인,와인 부딪히는 효과음,,,
230,sfx_stone,sfx_stone,,돌,돌 던지는 효과음,,,
231,sfx_overturn,sfx_overturn,,카드 뒤집기,카드 뒤집히는 효과음,,,
232,sfx_distribute,sfx_distribute,,카드 배부,카드 나눠주는 효과음,,,
233,sfx_cardupdown,sfx_cardupdown,,카드 밀리기,카드 밀리는 효과음,,,
